LSOA11CD,total_area,area_covered
E01029221,80437524.875715,3322302.990635933
E01029222,38281713.621886075,6792374.153124686
E01029223,20922461.91557021,4785786.04176278
E01029224,35451604.996693335,5735776.508961781
E01029225,1390705.0815961766,1005303.2032460647
E01029226,1183727.7483389329,804370.8150982924
E01029227,3422696.138576871,1368370.713103146
E01029228,7503202.609959866,1525365.9112841345
E01029229,552418.451955398,552418.4519553982
E01029230,61892768.379776634,2110315.1707176706
E01029231,361101.134743672,361101.13474367204
E01029232,191722.8598163697,191722.8598163696
E01029233,283954.77937328536,283954.7793732854
E01029234,690709.5796975044,690709.579697504
E01029235,264335.92659471516,264335.9265947151
E01029236,241229.02238033965,241229.02238033962
E01029237,342182.3610046046,342182.3610046045
E01029238,824241.3147673785,754250.720707737
E01029239,393916.14688176033,393916.1468817604
E01029240,532225.7011568921,528570.5590285645
E01029241,336657.68674891075,336657.68674891075
E01029242,1230279.184251065,1230279.184251065
E01029243,1171373.3374583023,829427.1452386044
E01029244,459523.8087991393,459473.28824471706
E01029245,1133925.7269083797,1133925.7269083804
E01029246,390776.8013189095,390776.8013189094
E01029247,275628.0616665759,275628.06166657584
E01029248,271822.7911368276,271822.7911368277
E01029249,327870.07182736794,327870.0718273679
E01029250,663795.2304042066,654146.4687696875
E01029251,4880989.481589232,1336624.1965079233
E01029252,728375.4869019934,628974.6214326242
E01029253,577276.4639804827,542482.1756939215
E01029254,784480.7263777079,538898.4623026992
E01029255,293041.24358716677,293041.24358716677
E01029256,3912132.526599442,2090492.1589817211
E01029257,1343316.1747220994,1343316.1747221
E01029258,14610586.758712899,1378517.1315400559
E01029259,8586678.258540692,1334282.7543739676
E01029260,864319.2394351703,631480.0616105753
E01029261,52170744.78724559,4269757.504614254
E01029262,32723673.09825042,2557078.395641664
E01029263,226678.66371415133,226678.6637141513
E01029264,304015.7095143363,304015.7095143363
E01029265,379859.7580850516,379859.7580850516
E01029266,473136.58676914324,473136.58676914306
E01029267,18383353.731936283,1265072.1120814402
E01029268,37514216.59946937,674204.0809195738
E01029269,35821773.80296309,1911433.1348670875
E01029270,49102765.70174091,5478786.541363362
E01029271,27599097.764339305,1834315.220193761
E01029273,1637295.9437403514,1268827.8289018571
E01029274,8682692.785176119,2745589.974944538
E01029275,6573195.095257165,2367639.3367922185
E01029276,1161195.7270570057,1138730.605378175
E01029277,638991.2467037579,635097.6758254017
E01029278,18263428.456851367,6745896.241562949
E01029279,20990246.85226617,2073259.0158264213
E01029280,266484.2461986838,266484.24619868386
E01029281,388299.8121095223,388299.8121095223
E01029282,376414.61031579564,376414.6103157956
E01029283,470908.77713267517,470908.77713267505
E01029284,482852.8184577083,482852.8184577084
E01029285,456373.637207708,456373.637207708
E01029286,234674.14244900225,234674.1424490023
E01029287,148036.68904462567,148036.68904462567
E01029288,474143.037177179,474143.03717717895
E01029289,381584.968394929,381584.968394929
E01029290,262224.99064148276,262224.99064148276
E01029291,460742.3432522299,460742.34325222997
E01029292,468381.8969965698,468381.8969965697
E01029293,312114.94952259725,312114.9495225972
E01029294,478310.4775144744,478310.4775144744
E01029295,458543.4522675204,456274.9725176333
E01029296,1381656.3171121804,1185962.3532836474
E01029297,346621.95663761924,346621.95663761924
E01029298,326409.78941415815,326409.78941415815
E01029299,399677.76451304945,399677.7645130494
E01029300,448030.8527559952,448030.8527559952
E01029301,836680.8860836294,836680.8860836296
E01029302,899382.1344902564,899382.1344902567
E01029303,1020416.0349040683,954451.2016095871
E01029304,304759.52086184704,304759.5208618472
E01029305,350224.18775732914,350224.18775732926
E01029306,530861.1436455537,530861.1436455538
E01029307,215951.14023926549,215951.14023926549
E01029308,10297424.031891396,3094007.6018820335
E01029309,852645.5811373816,845494.0031881393
E01029310,1136296.4489550272,1026220.1237090208
E01029311,898450.223840586,769850.4972547165
E01029312,668040.0236710318,556184.8513157907
E01029313,1319740.5750485267,881049.068173028
E01029314,2739479.4071529047,1350399.3544622376
E01029315,424390.7822211424,391690.7420517136
E01029316,592740.0161952925,500348.441166554
E01029317,2074859.7400380732,1587800.1947357494
E01029318,9224298.21352201,3816597.9252410587
E01029319,1558474.3297821826,1203805.5291119956
E01029320,631598.6671187521,594307.7648034237
E01029321,68068920.66688244,1197720.0925697875
E01029322,4408709.969152709,2013400.9352902677
E01029324,376048.3258097528,376048.32580975274
E01029325,61109306.15274138,12098639.646581711
E01029326,24723511.03955044,3963236.3427754934
E01029327,102861229.6872753,2329422.6483878824
E01029328,46877897.60114419,1099123.1429896313
E01029329,508589.3639384469,508589.3639384467
E01029330,1807147.016407497,1217838.86994273
E01029331,1386829.4813038767,907319.3981926588
E01029333,2308521.175432965,775239.7772343467
E01029334,8363709.903861199,3923046.6241096463
E01029335,50386165.71914645,3085177.2174142394
E01029336,92716139.78214519,6319419.939906474
E01029337,51617426.24431468,3239423.0890783216
E01029338,235048017.03367928,976356.8446689325
E01029339,366566.0060470825,351033.06664826116
E01029341,1396761.3536150544,1011344.3987595649
E01029342,27206415.965605285,3795081.669524842
E01029343,7858082.478436611,1632438.9794153397
E01029345,1555185.4316493173,1094022.8410710061
E01029346,313576.43570759293,289791.959925097
E01029347,572897.305062809,420683.6088341889
E01029348,2844018.5013837586,531542.4860053071
E01029349,331135.95288866526,331135.9528886653
E01029350,324772.8196436295,324772.8196436294
E01029351,265906.5849660427,265906.5849660428
E01029352,195273.55172918297,195273.55172918297
E01029353,893202.8447746717,844158.8428158027
E01029354,274084.83416405617,273397.4362359843
E01029355,348383.49252023856,348383.4925202387
E01029356,268454.8125412665,267891.5922688748
E01029357,327771.18907225406,327686.98364722217
E01029358,257896.30434576882,257896.30434576882
E01029359,1001825.9090498402,941948.4594040806
E01029360,547447.2990650239,547447.2990650237
E01029361,850134.3377284448,803175.4745293008
E01029362,603070.5566221792,448019.9088282226
E01029363,278773.07863035455,259856.4162134814
E01029364,849504.737817556,499283.70356544683
E01029365,350406.2480660815,350406.2480660815
E01029366,530306.3989653444,496622.89149998495
E01029367,743114.4225936476,712349.7313444804
E01029368,414939.4614479677,315445.1694402213
E01029369,175967.63737642753,175967.63737642756
E01029370,15855915.857098425,410458.9424695877
E01029371,220263.9236146399,220263.92361463988
E01029372,161271.99092518672,161271.99092518672
E01029373,1028569.8685138042,452133.31265911553
E01029374,798296.8890694216,384024.5277041788
E01029375,536190.6627388794,438066.15182203136
E01029376,401407.03575546504,401407.03575546504
E01029377,461865.2711308926,461865.27113089274
E01029378,323063.4186990783,310171.3042494987
E01029379,600552.1311146371,397310.58435038826
E01029380,313880.4097340894,299241.17204412323
E01029381,243576.1036720108,243348.3990461021
E01029382,1018517.1967737954,354751.47187505796
E01029383,866315.1596927025,305917.574818163
E01029384,1075388.745033849,1004824.4071015385
E01029385,444148.77383938147,358964.3729345784
E01029386,336575.7057851527,335306.30644429475
E01029387,290012.39977159107,290012.39977159107
E01029388,8323377.784486373,271403.18528973224
E01029389,979534.6047662009,526226.4419234338
E01029390,297919.06634724914,161372.3747540046
E01029391,1473339.500601363,569504.7758715352
E01029392,670739.3637576307,670739.3637576309
E01029393,565602.7815924223,565602.7815924223
E01029394,2517817.945021859,413103.34797032207
E01029395,10757120.524522362,1657786.0983786175
E01029396,1371949.2937819045,336972.86449969426
E01029397,505037.8920358213,430807.61373320385
E01029398,8068638.153345042,556139.9604793527
E01029399,409661.58828220353,348796.0487269744
E01029400,815759.0867705941,310840.53468314576
E01029401,314383.1914193257,286207.5218168636
E01029402,681849.7267803138,544837.7848182367
E01029403,342605.41018506093,262151.9938575498
